Division,Samurdhi Bank
Attanagalla,Bemmulla
Attanagalla,Ellakkala
Attanagalla,Kalatuwawa
Attanagalla,Koolawatta
Attanagalla,Nittambuwa
Attanagalla,Ranpokunagama
Attanagalla,Ruwanpura
Attanagalla,Urapola
Attanagalla,Veyangoda
Attanagalla,Weeragula
Biyagama,Biyagama
Biyagama,Delgoda
Biyagama,Gonawala
Biyagama,Makola
Diwulapitiya,Badalgama
Diwulapitiya,Diwulapitiya
Diwulapitiya,Dunagaha
Diwulapitiya,Katuwellegama
Diwulapitiya,Kongodamulla
Diwulapitiya,Kotadeniyawa
Diwulapitiya,Walpita
Diwulapitiya,Welagana
Diwulapitiya,Yatigaha
Dompe,Dangalla
Dompe,Dompe
Dompe,Ginihigama-north
Dompe,Kirindiwela
Dompe,Mahalloluwa
Dompe,Malindha
Dompe,Nedungolla
Dompe,Putupagala
Dompe,Samanabedda
Gampaha,Aluthgama/bogamuwa
Gampaha,Amunugoda
Gampaha,Ganemulla
Gampaha,Henarathgoda
Gampaha,Kirindivita
Gampaha,Weliweriya
Gampaha,Yakkala
Ja-ela,Batuwatta
Ja-ela,Dadugamperuwa
Ja-ela,Ja-ela
Ja-ela,Kandana
Ja-ela,Ragama
Ja-ela,Yakkaduwa
Katana,Adiambalama
Katana,Athagala
Katana,Demanhandiya
Katana,Katunayaka
Katana,Kotugoda
Katana,Raddoluwa
Kelaniya,Hunupitiya
Kelaniya,kelaniya
Kelaniya,kiribathgoda
Mahara,Henegama
Mahara,Kadawata
Mahara,Mahara
Mahara,Maligatenna
Mahara,Malwatuhiripitiya
Mahara,Ranmutugala
Mahara,Udupila
Meerigama,Baduragoda
Meerigama,Idiparape
Meerigama,Kandalama
Meerigama,Katakalapitiya
Meerigama,Keenadeniya
Meerigama,Meerigama
Meerigama,Nungamuwa
Meerigama,Pallewela
Meerigama,Pasyala
Meerigama,Wewaldeniya
Minuwangoda,Devalapola
Minuwangoda,Horampella
Minuwangoda,Korase
Minuwangoda,Minuwangoda
Minuwangoda,Naywala
Minuwangoda,Nedagamuwa
Minuwangoda,Udugampola
Minuwangoda,Uggalboda
Minuwangoda,Yagodamulla
Negombo,Negumbo
Negombo,Palagathura
Negombo,Pitipana
Wattala,Hendhala
Wattala,Kelawarapitiya
Wattala,Pamunugama
Wattala,Wattala
Wattala,Welisara
