Division,GN Division
 Negombo,77A Kammalthura
 Negombo,77 Pallansena North
 Negombo,78 Kochchikade
 Negombo,76 Pallansena South
 Negombo,74 Daluwakotuwa
 Negombo,75A Palangathure
 Negombo,73 Ettukala
 Negombo,74A Daluwakotuwa East
 Negombo,75 Kattuwa
 Negombo,72A Dalupotha East
 Negombo,72 Dalupotha
 Negombo,73A Kudapaduwa
 Negombo,73B Kudapaduwa North
 Negombo,73C Kudapaduwa South
 Negombo,158 Wella Weediya
 Negombo,158B Wella Weediya East
 Negombo,159 Periyamulla
 Negombo,159A Hunupitiya
 Negombo,161A Angurukaramulla
 Negombo,160 Udayarthoppuwa
 Negombo,158A Wella Weediya South
 Negombo,156A Munnakkarai North
 Negombo,162A Doowa
 Negombo,162 Pitipana North
 Negombo,162D Pitipana Central
 Negombo,156 Munnakkaraya
 Negombo,156B Munnakkarai East
 Negombo,160A Thaladuwa
 Negombo,160B Udayarthoppuwa South
 Negombo,157 Bolawalana
 Negombo,157B Kurana West
 Negombo,157A Kurana East
 Negombo,156C Siriwardana Pedesa
 Negombo,162C South Pitipana East
 Negombo,162B Pitipana South
 Negombo,163 Thalahena
 Negombo,163B Dungalpitiya
 Negombo,163C Seththappaduwa
 Negombo,163A Kepungoda
 Katana,66 Muruthana
 Katana,67A Manaveriya
 Katana,67 Udangawa
 Katana,65A Thoppuwa
 Katana,65 Bambukuliya
 Katana,64A Katana North
 Katana,63 Katana East
 Katana,64 Katana West
 Katana,68A Maha Ethgala
 Katana,68 Ethgala
 Katana,69B Adikkandiya
 Katana,69 Welihena North
 Katana,69A Welihena South
 Katana,70A Pahala Kandawala
 Katana,68B Ethgala South
 Katana,70 Ihala Kandawala
 Katana,94 Kaluwarippuwa West
 Katana,93 Kondagammulla
 Katana,93B Katiyala
 Katana,93A Kadirana North
 Katana,70B K.C. De Silvapura
 Katana,71 Thimbirigaskatuwa
 Katana,161C Sellakanda
 Katana,161B Katuwapitiya
 Katana,161D Mahahunupitiya West
 Katana,161 Mahahunupitiya East
 Katana,93F Pahala Kadirana
 Katana,93E Kadirana
 Katana,93D Akkara 50
 Katana,93C Kadirana South
 Katana,92B Kimbulapitiya West
 Katana,92A Kimbulapitiya North
 Katana,92 Kimbulapitiya South
 Katana,92C Kimbulapitiya Central
 Katana,155 Andiambalama West
 Katana,155A Walpola
 Katana,155B Andiambalama East
 Katana,154 Dewamottawa
 Katana,151 Kovinna
 Katana,149 Evariwatta
 Katana,150 Air Force Camp
 Katana,142B Kurana Katunayaka Central
 Katana,142 Kurana Katunayaka
 Katana,142A Kurana Katunayaka South
 Katana,143 Katunayaka North
 Katana,143A Katunayaka South
 Katana,152A Walanagoda
 Katana,154A Kalahapitiya
 Katana,152 Madawala
 Katana,201 Muthuwadiya
 Katana,144A Liyanagemulla North
 Katana,144 Liyanagemulla South
 Katana,148 Amandoluwa
 Katana,200 Thampala
 Katana,202 Kuswala
 Katana,203 Ganepola
 Katana,153 Heenatiyana West
 Katana,153B Heenatiyana South
 Katana,153A Heenatiyana East
 Katana,199F Raddolugama North A
 Katana,199C Raddolugama North
 Katana,199B Raddolugama South
 Katana,199E Raddolugama South A
 Katana,199 Raddoluwa North
 Katana,199D Raddoluwa West
 Katana,147 Seeduwa
